Codigo,Nombre Producto,Stock,Categoria,Precio
26515928,Answer Learn                            ,378,Position                 ,805.88
97069887,Cut Cell                                ,267,Grow                     ,820.35
88918926,Court Identify                          ,993,Full                     ,136.12
73155546,Involve Analysis                        ,148,Give                     ,51.75
13171289,Hear Step                               ,867,Us                       ,253.22
85212761,Action Bring                            ,333,Bar                      ,432.94
34643442,Standard Team                           ,133,Well                     ,195.96
89440188,Assume Ok                               ,548,Either                   ,832.6
82413756,Focus Generation                        ,348,Mr                       ,539.55
78108599,Field Serious                           ,125,Upon                     ,904.56
52838228,Network Good                            ,233,Avoid                    ,863.57
33475454,Technology Wind                         ,23,Religious                ,927.72
51839025,Although Enter                          ,466,Himself                  ,336.79
64429093,Realize Field                           ,941,Professional             ,310.13
25708807,Whose Give                              ,351,Even                     ,430.38
30178925,At Deal                                 ,496,Science                  ,902.73
64671534,Staff Population                        ,999,Road                     ,976.54
33256046,Growth Mention                          ,349,Early                    ,347.59
72583098,Leg Under                               ,394,Security                 ,86.06
42118539,Because Approach                        ,180,Contain                  ,106.57
65015779,Just President                          ,651,Development              ,853.8
58434135,Smile Finish                            ,43,Way                      ,231.7
79932889,Appear Ability                          ,493,Put                      ,112.39
65486858,Fall Action                             ,787,This                     ,780.03
62350367,New Since                               ,652,Cover                    ,18.94
66379605,Particularly Although                   ,297,Pay                      ,872.4
11232874,Skill Among                             ,600,Trial                    ,98.15
42198502,Option And                              ,87,Nation                   ,978.15
53650209,Present Take                            ,30,Media                    ,284.17
37219899,Professional Effect                     ,595,Water                    ,227.67
61873643,Bad Fear                                ,253,Tend                     ,712.45
31880441,Message Treat                           ,234,Effort                   ,111.86
51989583,Meeting Significant                     ,750,Feeling                  ,738.62
40186977,Authority Material                      ,613,Find                     ,366.75
44435388,Teacher Door                            ,994,Everyone                 ,50.75
32108431,Sea Cold                                ,542,Sister                   ,165.45
56732793,Onto Measure                            ,586,International            ,529.13
50518135,Especially Safe                         ,798,Show                     ,926.78
54449908,Day Bag                                 ,127,Rate                     ,508.11
95585165,Response System                         ,320,Tv                       ,371.36
45795903,Work Really                             ,154,Heavy                    ,339.33
46257572,Claim Project                           ,603,Article                  ,789.93
74902799,All Follow                              ,259,Threat                   ,47.54
30024699,Serve Ball                              ,14,Top                      ,107.15
85000072,Threat Though                           ,410,Decision                 ,269.01
66931892,Practice Cultural                       ,32,Loss                     ,923.55
26655257,Rather Above                            ,547,Modern                   ,203.95
25988014,Who Reach                               ,609,Positive                 ,926.1
41389744,About While                             ,97,Scene                    ,646.87
12648295,Lose Feeling                            ,290,Matter                   ,553.31
89588253,Can Oil                                 ,467,Less                     ,553.56
15164653,Drive Entire                            ,519,Yeah                     ,225.9
52035234,Question Save                           ,121,Rich                     ,641.49
45742328,Whole Bad                               ,798,Role                     ,738.71
28456097,Success Collection                      ,552,Answer                   ,477.11
15622459,Matter Financial                        ,789,Wonder                   ,642.01
63085373,And Product                             ,757,Every                    ,815.22
19380805,Buy Community                           ,966,Drive                    ,400.6
95822550,Capital Total                           ,858,Race                     ,883.21
50534871,Wind Financial                          ,748,Across                   ,591.22
41215787,Simple Heart                            ,548,Size                     ,440.02
15432997,Picture Quality                         ,246,Name                     ,642.23
36074590,Student Certain                         ,880,Pm                       ,188.46
16773419,Shake Know                              ,774,Nearly                   ,588.26
74733539,Own Six                                 ,346,Bar                      ,869.18
79465751,Issue First                             ,337,Issue                    ,416.87
17225771,Win Challenge                           ,265,She                      ,738.29
97278173,While Study                             ,617,Themselves               ,738.24
74952111,Idea Film                               ,628,Through                  ,903.27
35848752,Though Service                          ,1,General                  ,528.55
96414734,Including Condition                     ,472,Lead                     ,366.74
85417744,Type Week                               ,679,Us                       ,375.34
78093603,Part Despite                            ,496,Approach                 ,853.89
30476429,Mother Vote                             ,703,Middle                   ,461.68
16833305,Rule Thing                              ,491,Special                  ,61.16
65408173,Very Animal                             ,323,Program                  ,148.77
55450224,Write Throw                             ,643,Big                      ,137.4
79867281,Expect Born                             ,864,Rest                     ,396.22
60730657,Star Ago                                ,333,Discuss                  ,187.78
61094270,Writer Discover                         ,884,Goal                     ,726.4
12192988,Team Couple                             ,729,Military                 ,624.07
66562613,Time Message                            ,568,Majority                 ,105.41
85796602,Ability Ability                         ,658,Artist                   ,634.95
44083726,Thing Radio                             ,15,Never                    ,623.53
76283187,Hot Financial                           ,432,Table                    ,886.69
78321217,Never Car                               ,537,Such                     ,683.88
49876751,Reduce Hotel                            ,281,Maybe                    ,862.84
66430738,Official Vote                           ,565,Eye                      ,446.95
95039499,True Night                              ,405,Possible                 ,867.0
27419504,Federal Usually                         ,721,Medical                  ,878.37
60872809,Pick Trip                               ,348,Education                ,671.54
28556053,Community Including                     ,327,See                      ,807.81
36542853,Simply Often                            ,729,Series                   ,364.88
54992219,Example Far                             ,698,General                  ,914.88
29693461,Bed Model                               ,329,Pull                     ,277.96
67687193,Recent With                             ,80,Contain                  ,731.56
40859255,Control Finish                          ,354,Within                   ,852.38
18254064,Blue Cover                              ,597,Indeed                   ,978.09
95419217,History They                            ,491,Several                  ,645.42
13021446,National Deal                           ,190,Scientist                ,443.05
38859951,Drive Since                             ,588,Air                      ,392.69
29375446,And Service                             ,452,Offer                    ,447.52
76434229,Decide Data                             ,117,Quickly                  ,554.25
90274203,Write Visit                             ,136,Need                     ,660.36
75546860,Force Serious                           ,712,Return                   ,20.2
91073083,Minute Current                          ,805,Once                     ,114.73
30091881,Game Century                            ,21,Last                     ,912.32
